organization_id,organization_name,organization_name_normalized,organization_name_search_key,organization_type_code,organization_level,parent_organization_id,province_name,management
BCA-CENTRAL-000001,Văn phòng Bộ Công an,văn phòng bộ công an,van phong bo cong an,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000002,Cục Tổ chức cán bộ,cục tổ chức cán bộ,cuc to chuc can bo,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000003,Cục Đào tạo,cục đào tạo,cuc dao tao,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000004,Cục Cảnh sát giao thông,cục cảnh sát giao thông,cuc canh sat giao thong,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000005,Cục Cảnh sát hình sự,cục cảnh sát hình sự,cuc canh sat hinh su,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000006,Cục Cảnh sát kinh tế,cục cảnh sát kinh tế,cuc canh sat kinh te,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000007,Cục Cảnh sát điều tra tội phạm về ma túy,cục cảnh sát điều tra tội phạm về ma túy,cuc canh sat dieu tra toi pham ve ma tuy,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000008,Cục An ninh mạng và phòng chống tội phạm sử dụng công nghệ cao,cục an ninh mạng và phòng chống tội phạm sử dụng công nghệ cao,cuc an ninh mang va phong chong toi pham su dung cong nghe cao,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000009,Cục Cảnh sát PCCC và CNCH,cục cảnh sát pccc và cnch,cuc canh sat pccc va cnch,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000010,Cục Quản lý xuất nhập cảnh,cục quản lý xuất nhập cảnh,cuc quan ly xuat nhap canh,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000011,Bộ Tư lệnh Cảnh sát cơ động,bộ tư lệnh cảnh sát cơ động,bo tu lenh canh sat co dong,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000012,Học viện Cảnh sát nhân dân,học viện cảnh sát nhân dân,hoc vien canh sat nhan dan,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
